epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,10584.1,1.56416,1.58488,1.85698,0.69103,0.78524,0.76003,0.38214,1.56717,1.20087,1.94994,0.0004258,0.0004258,0.0004258
89,10682.1,1.54542,1.56975,1.84509,0.6857,0.81613,0.75957,0.41398,1.48385,1.1433,1.86869,0.0004192,0.0004192,0.0004192
90,10780.4,1.55832,1.56757,1.84259,0.67792,0.80202,0.77251,0.41774,1.50823,1.1376,1.88002,0.0004126,0.0004126,0.0004126
91,10878.4,1.54756,1.53523,1.85869,0.67233,0.81716,0.75461,0.40276,1.51506,1.145,1.91617,0.000406,0.000406,0.000406
92,10984.6,1.5409,1.56156,1.85089,0.66866,0.81152,0.75993,0.3854,1.56983,1.13381,1.93815,0.0003994,0.0003994,0.0003994
93,11127.6,1.56136,1.52777,1.86818,0.69039,0.80763,0.78048,0.40627,1.52744,1.12602,1.91716,0.0003928,0.0003928,0.0003928
94,11336.4,1.5452,1.5153,1.83624,0.68478,0.80903,0.77637,0.42398,1.52247,1.09186,1.89396,0.0003862,0.0003862,0.0003862
95,11542.1,1.53484,1.54718,1.84468,0.66026,0.81314,0.75982,0.39714,1.5271,1.14124,1.91466,0.0003796,0.0003796,0.0003796
96,11762.7,1.53166,1.51467,1.83626,0.69448,0.83455,0.80911,0.44279,1.48961,1.07478,1.86122,0.000373,0.000373,0.000373
97,11992.9,1.53887,1.50145,1.84314,0.6946,0.80364,0.78716,0.41819,1.55136,1.09771,1.93022,0.0003664,0.0003664,0.0003664
98,12220.2,1.5618,1.49807,1.84872,0.72109,0.8062,0.79901,0.43669,1.50165,1.06225,1.86243,0.0003598,0.0003598,0.0003598
99,12433.9,1.53453,1.51398,1.82326,0.70689,0.81562,0.80326,0.45439,1.43951,1.06613,1.83034,0.0003532,0.0003532,0.0003532
100,12647.7,1.54591,1.50169,1.84264,0.71723,0.81997,0.80951,0.44228,1.47836,1.05584,1.84626,0.0003466,0.0003466,0.0003466
101,12768.7,1.53668,1.4627,1.84083,0.72422,0.79753,0.80375,0.4442,1.48372,1.05472,1.84969,0.00034,0.00034,0.00034
102,12866.3,1.52876,1.48708,1.84494,0.72215,0.82501,0.82172,0.45762,1.47281,1.04092,1.86237,0.0003334,0.0003334,0.0003334
103,12963.7,1.49095,1.49652,1.80016,0.71401,0.83873,0.82524,0.44473,1.47863,1.05743,1.85079,0.0003268,0.0003268,0.0003268
104,13061.2,1.53295,1.47854,1.82661,0.70062,0.83174,0.79148,0.43066,1.48095,1.07009,1.84777,0.0003202,0.0003202,0.0003202
105,13165.8,1.48671,1.44752,1.78776,0.73802,0.82614,0.8264,0.47039,1.4482,1.00546,1.84868,0.0003136,0.0003136,0.0003136
106,13275.9,1.50088,1.43516,1.81061,0.73403,0.82654,0.81909,0.44534,1.47085,1.04075,1.86669,0.000307,0.000307,0.000307
107,13386.5,1.49222,1.43374,1.80462,0.72724,0.83231,0.82844,0.46877,1.41955,1.00982,1.82287,0.0003004,0.0003004,0.0003004
108,13496,1.51528,1.44818,1.83117,0.72087,0.82417,0.83283,0.47106,1.42642,1.00382,1.81608,0.0002938,0.0002938,0.0002938
109,13605.4,1.47405,1.42289,1.78583,0.74385,0.83551,0.84527,0.48378,1.3909,0.98625,1.78708,0.0002872,0.0002872,0.0002872
110,13715.3,1.4885,1.41086,1.79017,0.72293,0.83343,0.83168,0.46471,1.43205,1.00317,1.81129,0.0002806,0.0002806,0.0002806
111,13824.3,1.4954,1.42362,1.80273,0.74184,0.83,0.84207,0.48393,1.42058,0.98196,1.79794,0.000274,0.000274,0.000274
112,13933.3,1.49787,1.43025,1.79575,0.73142,0.83393,0.83914,0.47607,1.41191,0.9825,1.78436,0.0002674,0.0002674,0.0002674
113,14041.7,1.48566,1.39553,1.77277,0.74125,0.82425,0.84649,0.49042,1.37325,0.97922,1.76718,0.0002608,0.0002608,0.0002608
114,14152.2,1.47688,1.40387,1.78622,0.76305,0.83262,0.86349,0.50499,1.38581,0.94508,1.76836,0.0002542,0.0002542,0.0002542
115,14261.7,1.4706,1.3993,1.78963,0.75015,0.84072,0.85472,0.48048,1.44489,0.97199,1.81382,0.0002476,0.0002476,0.0002476
116,14370,1.45189,1.39552,1.76354,0.74836,0.84352,0.85502,0.50913,1.36441,0.95023,1.74019,0.000241,0.000241,0.000241
117,14477.8,1.43849,1.37235,1.74709,0.74659,0.82726,0.85221,0.48875,1.40565,0.9655,1.78739,0.0002344,0.0002344,0.0002344
